OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC
44,2/1/2021,,0-1,Flooring,Other,extra large,No Promo,Marketing - Paid,60.70%,9.60%,0,4.1
70,3/1/2022,,0-1,Plumbing,Plumbing,starter,No Promo,,7.10%,34.00%,0,1.2
1494,10/2/2020,,0-1,Carpet Cleaning,Carpet Cleaning,small,No Promo,Product,100.00%,37.90%,1,3.4
1604,10/8/2020,12/8/2020,11+,Restoration,Other,large,2+ month,Sales,50.00%,0.40%,0,6.2
1652,2/3/2020,3/2/2020,11+,Solar & Energy,Other,large,One Month,Sales,0.00%,0.10%,0,4.7
2199,5/20/2020,,0-1,Carpet Cleaning,Carpet Cleaning,starter,No Promo,,0.00%,0.00%,0,0.4
2265,9/9/2020,,2-6,Plumbing,Plumbing,small,One Month,Sales,0.00%,0.30%,0,2.3
2607,1/31/2020,,0-1,Carpet Cleaning,Carpet Cleaning,starter,No Promo,Marketing - Unpaid,57.10%,10.80%,1,0.7
2824,3/2/2020,,0-1,Carpet Cleaning,Carpet Cleaning,starter,No Promo,,32.10%,47.30%,1,0.9
2991,1/17/2020,4/30/2020,2-6,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,7.10%,0.20%,0,0.5
3060,6/7/2021,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,large,2+ month,Marketing - Paid,17.90%,0.80%,0,8.9
3313,1/4/2021,,0-1,Install & Assemble,Other,small,No Promo,,92.90%,93.10%,0,3
3314,7/23/2021,,0-1,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,85.70%,4.50%,0,2
3434,1/28/2021,,2-6,Other,Other,large,2+ month,Sales,0.00%,0.00%,0,2.6
4428,4/12/2021,4/20/2021,0-1,Window & Exterior Cleaning,Window & Exterior,starter,One Month,Sales,3.60%,0.10%,0,0.2
4525,3/12/2021,,11+,Home Cleaning,Home Cleaning,large,No Promo,Marketing - Unpaid,96.40%,84.40%,1,6.1
5006,2/20/2021,5/20/2021,0-1,Sewer & Septic,Other,extra large,One Month,Sales,21.40%,0.80%,0,9
5469,8/10/2021,9/9/2021,2-6,Janitorial,Other,small,One Month,Sales,3.60%,6.60%,0,1.6
5996,2/16/2021,6/16/2021,2-6,Home Cleaning,Home Cleaning,small,One Month,Sales,0.00%,0.20%,0,0.5
6284,5/11/2022,6/10/2022,2-6,General Contractor,General Contractor,large,2+ month,Innovation,14.30%,0.30%,0,4.3
6375,4/5/2022,,0-1,Home Cleaning,Home Cleaning,small,One Month,,50.00%,28.40%,0,0.4
6399,10/17/2022,11/16/2022,2-6,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,0.00%,0.40%,0,2.4
6431,1/13/2022,,2-6,Audio & TV,Other,large,One Month,Sales,3.60%,0.00%,0,4.1
6781,8/23/2022,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,large,2+ month,,25.00%,0.50%,0,11.7
6892,1/10/2022,3/9/2022,0-1,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,3.60%,1.00%,0,1.7
7000,2/24/2022,11/23/2022,0-1,Window & Exterior Cleaning,Window & Exterior,extra large,2+ month,Marketing - Unpaid,21.40%,1.60%,0,6.9
7157,7/7/2022,9/6/2022,2-6,Heating & Air Conditioning,Heating & Air Conditioning,large,No Promo,Marketing - Unpaid,7.10%,0.90%,0,8.9
7284,2/18/2022,3/24/2022,0-1,Window & Exterior Cleaning,Window & Exterior,extra large,2+ month,Marketing - Unpaid,50.00%,61.10%,0,7.7
8007,4/5/2022,,0-1,Plumbing,Plumbing,extra large,2+ month,Marketing - Unpaid,17.90%,7.60%,0,11.5
8703,2/28/2022,4/27/2022,0-1,Smart Home,Other,small,One Month,Sales,3.60%,0.00%,0,1.6
9041,1/20/2022,2/19/2022,7-10,Smart Home,Other,extra large,2+ month,BD,25.00%,0.30%,0,4.6
9188,3/11/2022,7/11/2022,0-1,Handyman,Handyman,small,No Promo,Sales,0.00%,0.10%,0,0.5
9188,10/6/2022,11/7/2022,0-1,Handyman,Handyman,small,One Month,Sales,7.10%,0.10%,0,1.3
9322,4/25/2022,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,large,2+ month,Skyboss,67.90%,25.20%,1,2.7
9525,6/6/2022,,0-1,General Contractor,General Contractor,small,One Month,Marketing - Paid,39.30%,4.00%,0,1.3
9593,2/22/2022,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,starter,No Promo,,60.70%,49.60%,0,1.5
9629,9/10/2022,11/9/2022,2-6,Appliances,Appliances,starter,One Month,Sales,17.90%,0.20%,0,1.4
10219,1/24/2020,3/20/2020,0-1,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,0.00%,0.80%,0,1.9
11254,6/5/2020,7/1/2020,2-6,Plumbing,Plumbing,large,Special - One Month,Sales,7.10%,0.00%,0,3.4
11413,8/14/2020,11/14/2020,2-6,Plumbing,Plumbing,small,Special - One Month,Sales,0.00%,0.00%,0,2.9
11690,3/3/2020,,2-6,Landscaping & Lawn,Landscaping & Lawn,starter,No Promo,Marketing - Unpaid,46.40%,33.20%,1,0.6
12137,7/29/2020,11/29/2020,,Moving,Other,small,One Month,Marketing - Paid,39.30%,0.40%,0,1.9
12920,10/15/2020,11/15/2020,0-1,General Contractor,General Contractor,small,One Month,Sales,0.00%,0.40%,0,1.8
13117,9/8/2020,,0-1,Device Repair,Other,small,One Month,,3.60%,84.20%,0,2.7
13497,7/16/2020,,2-6,Carpet Cleaning,Carpet Cleaning,large,Special - One Month,Marketing - Unpaid,14.30%,0.80%,0,5.3
13507,7/8/2020,,0-1,Natural Stone,Other,starter,One Month,Marketing - Paid,21.40%,12.30%,0,0.8
13944,6/23/2020,10/26/2020,0-1,Carpet Cleaning,Carpet Cleaning,small,One Month,BD,28.60%,0.40%,0,2.6
14042,3/12/2020,,2-6,Concrete & Asphalt,Other,large,One Month,Marketing - Unpaid,3.60%,0.10%,0,12.5
14043,1/14/2020,,0-1,Electrical,Electrical,small,One Month,Sales,42.90%,2.70%,0,1
14338,4/29/2020,,7-10,Heating & Air Conditioning,Heating & Air Conditioning,large,Special - One Month,Marketing - Paid,3.60%,4.80%,0,8.7
14401,4/14/2020,,2-6,General Contractor,General Contractor,small,One Month,Marketing - Paid,3.60%,0.20%,0,1.8
14940,10/7/2020,,11+,Automotive,Other,extra large,Special - One Month,Sales,0.00%,0.40%,0,8
15541,6/26/2020,7/25/2020,2-6,Heating & Air Conditioning,Heating & Air Conditioning,large,2+ month,BD,39.30%,0.50%,1,8.1
15587,6/12/2020,12/11/2020,0-1,Home Cleaning,Home Cleaning,large,Special - One Month,Marketing - Unpaid,53.60%,82.50%,0,6.5
15897,1/27/2020,,2-6,Carpet Cleaning,Carpet Cleaning,small,One Month,Sales,53.60%,8.20%,0,2.6
16604,10/8/2020,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,small,One Month,Sales,60.70%,2.00%,1,3.2
16860,3/10/2020,,0-1,Carpet Cleaning,Carpet Cleaning,small,2+ month,Sales,96.40%,11.90%,0,2.1
18166,6/16/2020,9/1/2020,0-1,Janitorial,Other,starter,No Promo,Marketing - Unpaid,7.10%,0.50%,0,0.5
18197,4/23/2020,,0-1,Carpet Cleaning,Carpet Cleaning,starter,No Promo,,71.40%,18.70%,1,0.9
18558,3/9/2020,4/8/2020,11+,General Contractor,General Contractor,extra large,2+ month,Sales,0.00%,0.00%,0,11.6
18573,2/12/2020,5/29/2020,2-6,Heating & Air Conditioning,Heating & Air Conditioning,small,One Month,Sales,0.00%,0.00%,0,1
19165,9/24/2020,11/23/2020,2-6,Heating & Air Conditioning,Heating & Air Conditioning,small,One Month,Sales,10.70%,0.20%,0,2.5
19205,2/18/2020,3/16/2020,0-1,Audio & TV,Other,small,One Month,Sales,0.00%,0.30%,0,1.5
19960,3/14/2020,5/26/2020,0-1,Business Services,Other,small,One Month,Sales,0.00%,0.40%,0,0.9
20177,9/11/2020,,2-6,Tile & Grout,Other,starter,One Month,Sales,0.00%,0.00%,0,1
