OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
44,2021-02-01,,0-1,Flooring,Other,Extra large,No Promo,Marketing - Paid,0.607,0.096,0,4.1,0,676.0,4420210201
70,2022-03-01,,0-1,Plumbing,Plumbing,Starter,No Promo,,0.071,0.34,0,1.2,0,283.0,7020220301
1494,2020-10-02,,0-1,Carpet Cleaning,Carpet Cleaning,Small,No Promo,Product,1.0,0.379,1,3.4,0,798.0,149420201002
1604,2020-10-08,2020-12-08,11+,Restoration,Other,Large,2+ month,Sales,0.5,0.004,0,6.2,1,61.0,160420201008
1652,2020-02-03,2020-03-02,11+,Solar & Energy,Other,Large,One Month,Sales,0.0,0.001,0,4.7,1,28.0,165220200203
2199,2020-05-20,,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,,0.0,0.0,0,0.4,0,933.0,219920200520
2265,2020-09-09,,2-6,Plumbing,Plumbing,Small,One Month,Sales,0.0,0.003,0,2.3,0,821.0,226520200909
2607,2020-01-31,,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,Marketing - Unpaid,0.5710000000000001,0.10800000000000001,1,0.7,0,1043.0,260720200131
2824,2020-03-02,,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,,0.321,0.473,1,0.9,0,1012.0,282420200302
2991,2020-01-17,2020-04-30,2-6,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.071,0.002,0,0.5,1,104.0,299120200117
3060,2021-06-07,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,Marketing - Paid,0.179,0.008,0,8.9,0,550.0,306020210607
3313,2021-01-04,,0-1,Install & Assemble,Other,Small,No Promo,,0.929,0.9309999999999999,0,3.0,0,704.0,331320210104
3314,2021-07-23,,0-1,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.857,0.045,0,2.0,0,504.0,331420210723
3434,2021-01-28,,2-6,Other,Other,Large,2+ month,Sales,0.0,0.0,0,2.6,0,680.0,343420210128
4428,2021-04-12,2021-04-20,0-1,Window & Exterior Cleaning,Window & Exterior,Starter,One Month,Sales,0.036000000000000004,0.001,0,0.2,1,8.0,442820210412
4525,2021-03-12,,11+,Home Cleaning,Home Cleaning,Large,No Promo,Marketing - Unpaid,0.9640000000000001,0.8440000000000001,1,6.1,0,637.0,452520210312
5006,2021-02-20,2021-05-20,0-1,Sewer & Septic,Other,Extra large,One Month,Sales,0.214,0.008,0,9.0,1,89.0,500620210220
5469,2021-08-10,2021-09-09,2-6,Janitorial,Other,Small,One Month,Sales,0.036000000000000004,0.066,0,1.6,1,30.0,546920210810
5996,2021-02-16,2021-06-16,2-6,Home Cleaning,Home Cleaning,Small,One Month,Sales,0.0,0.002,0,0.5,1,120.0,599620210216
6284,2022-05-11,2022-06-10,2-6,General Contractor,General Contractor,Large,2+ month,Innovation,0.14300000000000002,0.003,0,4.3,1,30.0,628420220511
6375,2022-04-05,,0-1,Home Cleaning,Home Cleaning,Small,One Month,,0.5,0.284,0,0.4,0,248.0,637520220405
6399,2022-10-17,2022-11-16,2-6,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.0,0.004,0,2.4,1,30.0,639920221017
6431,2022-01-13,,2-6,Audio & TV,Other,Large,One Month,Sales,0.036000000000000004,0.0,0,4.1,0,330.0,643120220113
6781,2022-08-23,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,,0.25,0.005,0,11.7,0,108.0,678120220823
6892,2022-01-10,2022-03-09,0-1,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.036000000000000004,0.01,0,1.7,1,58.0,689220220110
7000,2022-02-24,2022-11-23,0-1,Window & Exterior Cleaning,Window & Exterior,Extra large,2+ month,Marketing - Unpaid,0.214,0.016,0,6.9,1,272.0,700020220224
7157,2022-07-07,2022-09-06,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,No Promo,Marketing - Unpaid,0.071,0.009000000000000001,0,8.9,1,61.0,715720220707
7284,2022-02-18,2022-03-24,0-1,Window & Exterior Cleaning,Window & Exterior,Extra large,2+ month,Marketing - Unpaid,0.5,0.611,0,7.7,1,34.0,728420220218
8007,2022-04-05,,0-1,Plumbing,Plumbing,Extra large,2+ month,Marketing - Unpaid,0.179,0.076,0,11.5,0,248.0,800720220405
8703,2022-02-28,2022-04-27,0-1,Smart Home,Other,Small,One Month,Sales,0.036000000000000004,0.0,0,1.6,1,58.0,870320220228
9041,2022-01-20,2022-02-19,7-10,Smart Home,Other,Extra large,2+ month,BD,0.25,0.003,0,4.6,1,30.0,904120220120
9188,2022-03-11,2022-07-11,0-1,Handyman,Handyman,Small,No Promo,Sales,0.0,0.001,0,0.5,1,122.0,918820220311
9188,2022-10-06,2022-11-07,0-1,Handyman,Handyman,Small,One Month,Sales,0.071,0.001,0,1.3,1,32.0,918820221006
9322,2022-04-25,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,Skyboss,0.679,0.252,1,2.7,0,228.0,932220220425
9525,2022-06-06,,0-1,General Contractor,General Contractor,Small,One Month,Marketing - Paid,0.39299999999999996,0.04,0,1.3,0,186.0,952520220606
9593,2022-02-22,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Starter,No Promo,,0.607,0.496,0,1.5,0,290.0,959320220222
9629,2022-09-10,2022-11-09,2-6,Appliances,Appliances,Starter,One Month,Sales,0.179,0.002,0,1.4,1,60.0,962920220910
10219,2020-01-24,2020-03-20,0-1,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.0,0.008,0,1.9,1,56.0,1021920200124
11254,2020-06-05,2020-07-01,2-6,Plumbing,Plumbing,Large,Special - One Month,Sales,0.071,0.0,0,3.4,1,26.0,1125420200605
11413,2020-08-14,2020-11-14,2-6,Plumbing,Plumbing,Small,Special - One Month,Sales,0.0,0.0,0,2.9,1,92.0,1141320200814
11690,2020-03-03,,2-6,Landscaping & Lawn,Landscaping & Lawn,Starter,No Promo,Marketing - Unpaid,0.46399999999999997,0.332,1,0.6,0,1011.0,1169020200303
12137,2020-07-29,2020-11-29,,Moving,Other,Small,One Month,Marketing - Paid,0.39299999999999996,0.004,0,1.9,1,123.0,1213720200729
12920,2020-10-15,2020-11-15,0-1,General Contractor,General Contractor,Small,One Month,Sales,0.0,0.004,0,1.8,1,31.0,1292020201015
13117,2020-09-08,,0-1,Device Repair,Other,Small,One Month,,0.036000000000000004,0.8420000000000001,0,2.7,0,822.0,1311720200908
13497,2020-07-16,,2-6,Carpet Cleaning,Carpet Cleaning,Large,Special - One Month,Marketing - Unpaid,0.14300000000000002,0.008,0,5.3,0,876.0,1349720200716
13507,2020-07-08,,0-1,Natural Stone,Other,Starter,One Month,Marketing - Paid,0.214,0.12300000000000001,0,0.8,0,884.0,1350720200708
13944,2020-06-23,2020-10-26,0-1,Carpet Cleaning,Carpet Cleaning,Small,One Month,BD,0.28600000000000003,0.004,0,2.6,1,125.0,1394420200623
14042,2020-03-12,,2-6,Concrete & Asphalt,Other,Large,One Month,Marketing - Unpaid,0.036000000000000004,0.001,0,12.5,0,1002.0,1404220200312
14043,2020-01-14,,0-1,Electrical,Electrical,Small,One Month,Sales,0.429,0.027000000000000003,0,1.0,0,1060.0,1404320200114
14338,2020-04-29,,7-10,Heating & Air Conditioning,Heating & Air Conditioning,Large,Special - One Month,Marketing - Paid,0.036000000000000004,0.048,0,8.7,0,954.0,1433820200429
14401,2020-04-14,,2-6,General Contractor,General Contractor,Small,One Month,Marketing - Paid,0.036000000000000004,0.002,0,1.8,0,969.0,1440120200414
14940,2020-10-07,,11+,Automotive,Other,Extra large,Special - One Month,Sales,0.0,0.004,0,8.0,0,793.0,1494020201007
15541,2020-06-26,2020-07-25,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,BD,0.39299999999999996,0.005,1,8.1,1,29.0,1554120200626
15587,2020-06-12,2020-12-11,0-1,Home Cleaning,Home Cleaning,Large,Special - One Month,Marketing - Unpaid,0.536,0.825,0,6.5,1,182.0,1558720200612
15897,2020-01-27,,2-6,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.536,0.08199999999999999,0,2.6,0,1047.0,1589720200127
16604,2020-10-08,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.607,0.02,1,3.2,0,792.0,1660420201008
16860,2020-03-10,,0-1,Carpet Cleaning,Carpet Cleaning,Small,2+ month,Sales,0.9640000000000001,0.11900000000000001,0,2.1,0,1004.0,1686020200310
18166,2020-06-16,2020-09-01,0-1,Janitorial,Other,Starter,No Promo,Marketing - Unpaid,0.071,0.005,0,0.5,1,77.0,1816620200616
18197,2020-04-23,,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,,0.7140000000000001,0.187,1,0.9,0,960.0,1819720200423
18558,2020-03-09,2020-04-08,11+,General Contractor,General Contractor,Extra large,2+ month,Sales,0.0,0.0,0,11.6,1,30.0,1855820200309
18573,2020-02-12,2020-05-29,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.0,0.0,0,1.0,1,107.0,1857320200212
19165,2020-09-24,2020-11-23,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.107,0.002,0,2.5,1,60.0,1916520200924
19205,2020-02-18,2020-03-16,0-1,Audio & TV,Other,Small,One Month,Sales,0.0,0.003,0,1.5,1,27.0,1920520200218
19960,2020-03-14,2020-05-26,0-1,Business Services,Other,Small,One Month,Sales,0.0,0.004,0,0.9,1,73.0,1996020200314
20177,2020-09-11,,2-6,Tile & Grout,Other,Starter,One Month,Sales,0.0,0.0,0,1.0,0,819.0,2017720200911
20644,2020-01-27,2020-06-25,11+,Plumbing,Plumbing,Large,2+ month,Marketing - Paid,0.39299999999999996,0.045,0,8.4,1,150.0,2064420200127
20734,2020-09-15,2020-10-15,0-1,Carpet Cleaning,Carpet Cleaning,Starter,One Month,Sales,0.0,0.0,0,0.8,1,30.0,2073420200915
20902,2020-04-28,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,No Promo,Marketing - Paid,0.14300000000000002,0.019,0,1.0,0,955.0,2090220200428
21453,2020-03-03,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.857,0.162,1,2.8,0,1011.0,2145320200303
21671,2020-03-04,2020-04-08,0-1,Carpet Cleaning,Carpet Cleaning,Small,One Month,Sales,0.0,0.0,0,1.3,1,35.0,2167120200304
21704,2020-03-28,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Starter,No Promo,Marketing - Unpaid,0.179,0.002,0,1.3,0,986.0,2170420200328
22139,2020-09-16,,0-1,Plumbing,Plumbing,Small,One Month,Marketing - Paid,0.0,0.0,0,2.1,0,814.0,2213920200916
22181,2020-06-08,2020-12-07,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,No Promo,,0.0,0.405,0,2.9,1,182.0,2218120200608
22189,2020-03-30,,2-6,Electrical,Electrical,Small,One Month,Sales,0.0,0.001,0,0.8,0,984.0,2218920200330
22333,2020-05-18,,2-6,Junk Removal,Other,Large,Special - One Month,Sales,0.929,0.084,1,9.5,0,935.0,2233320200518
22391,2020-02-10,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Unpaid,0.46399999999999997,0.11199999999999999,1,3.0,0,1033.0,2239120200210
22817,2020-01-07,2020-02-07,0-1,Carpet Cleaning,Carpet Cleaning,Small,2+ month,BD,0.036000000000000004,0.001,0,2.4,1,31.0,2281720200107
23024,2020-09-10,,0-1,Automotive,Other,Starter,One Month,Sales,0.14300000000000002,0.006999999999999999,0,0.8,0,820.0,2302420200910
23257,2020-10-05,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,No Promo,,0.5710000000000001,0.752,1,7.7,0,795.0,2325720201005
23406,2020-02-04,,0-1,Carpet Cleaning,Carpet Cleaning,Small,No Promo,,0.5710000000000001,0.067,0,2.0,0,1039.0,2340620200204
24033,2020-02-17,2020-03-16,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,Marketing - Unpaid,0.35700000000000004,0.282,0,14.5,1,28.0,2403320200217
24036,2020-08-31,,2-6,Roof & Attic,Other,Small,One Month,Sales,0.0,0.0,0,2.1,0,830.0,2403620200831
24130,2020-02-28,2020-06-26,11+,Window & Exterior Cleaning,Window & Exterior,Extra large,One Month,Sales,0.0,0.0,0,4.7,1,119.0,2413020200228
24461,2020-02-10,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Unpaid,0.5,0.11599999999999999,1,2.2,0,1033.0,2446120200210
24694,2020-02-21,,0-1,Smart Home,Other,Small,One Month,Marketing - Unpaid,0.14300000000000002,0.013000000000000001,0,1.4,0,1022.0,2469420200221
24744,2020-09-15,,0-1,Handyman,Handyman,Small,2+ month,Innovation,0.821,0.54,1,1.8,0,815.0,2474420200915
24779,2020-04-01,,0-1,Handyman,Handyman,Small,One Month,,0.214,0.091,0,1.2,0,982.0,2477920200401
24781,2020-09-25,2020-12-03,2-6,Home Cleaning,Home Cleaning,Small,One Month,Sales,0.036000000000000004,0.0,0,1.8,1,69.0,2478120200925
25006,2020-09-01,,0-1,Audio & TV,Other,Small,One Month,Sales,0.036000000000000004,0.005,0,1.3,0,829.0,2500620200901
25217,2020-09-25,,0-1,Home Cleaning,Home Cleaning,Large,Special - One Month,Marketing - Unpaid,0.179,0.004,1,5.8,0,805.0,2521720200925
25243,2020-02-13,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Paid,0.107,0.099,0,1.2,0,1030.0,2524320200213
25524,2020-01-13,,0-1,Air Duct Cleaning,Other,Small,No Promo,Marketing - Unpaid,0.46399999999999997,0.45299999999999996,1,3.7,0,1061.0,2552420200113
25676,2020-08-31,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Starter,No Promo,Marketing - Unpaid,0.0,0.635,0,1.0,0,830.0,2567620200831
25857,2020-04-16,2020-05-15,0-1,Electrical,Electrical,Extra large,2+ month,Marketing - Paid,0.071,0.003,0,10.4,1,29.0,2585720200416
25903,2020-04-13,2020-06-13,2-6,Home Cleaning,Home Cleaning,Large,2+ month,Sales,0.036000000000000004,0.001,0,2.6,1,61.0,2590320200413
26030,2020-07-30,,2-6,Plumbing,Plumbing,Small,No Promo,Sales,0.036000000000000004,0.001,0,2.9,0,862.0,2603020200730
26135,2020-04-20,2020-08-20,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,,0.39299999999999996,0.146,0,0.8,1,122.0,2613520200420
26172,2020-06-12,,0-1,Carpet Cleaning,Carpet Cleaning,Starter,No Promo,,0.857,0.764,1,0.7,0,910.0,2617220200612
26196,2020-09-26,2020-10-25,0-1,General Contractor,General Contractor,Starter,One Month,Marketing - Paid,0.107,0.127,0,0.9,1,29.0,2619620200926
26660,2020-09-24,,0-1,Home Cleaning,Home Cleaning,Extra large,Special - One Month,Sales,0.0,0.0,0,8.5,0,806.0,2666020200924
26670,2020-02-20,,0-1,Home Cleaning,Home Cleaning,Small,One Month,Sales,0.929,0.145,0,3.0,0,1023.0,2667020200220
26781,2020-10-14,,7-10,Handyman,Handyman,Large,Special - One Month,Sales,0.14300000000000002,0.004,0,6.3,0,786.0,2678120201014
26894,2020-03-30,2020-05-29,2-6,Junk Removal,Other,Small,One Month,Sales,0.679,0.013000000000000001,1,0.9,1,60.0,2689420200330
26927,2020-07-20,,7-10,Heating & Air Conditioning,Heating & Air Conditioning,Large,Special - One Month,Marketing - Unpaid,0.607,0.405,0,6.7,0,872.0,2692720200720
26948,2020-09-30,,2-6,Handyman,Handyman,Small,One Month,Marketing - Unpaid,0.35700000000000004,0.33899999999999997,1,1.8,0,800.0,2694820200930
27030,2020-09-24,2020-11-23,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Extra large,2+ month,BD,0.036000000000000004,0.0,0,13.2,1,60.0,2703020200924
27120,2020-07-26,,0-1,Plumbing,Plumbing,Starter,No Promo,,0.14300000000000002,0.237,1,1.3,0,866.0,2712020200726
27179,2020-06-12,2020-09-11,2-6,Fencing,Other,Large,Special - One Month,Marketing - Paid,0.39299999999999996,0.024,0,5.2,1,91.0,2717920200612
